"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Curacao","CUW","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","79.57353","78.21518","78.04012","77.08835","70.99085","68.77587","68.11347","69.019","69.99553","69.21742","71.51784","68.43544","68.05516","68.09883","68.95197","73.50297","77.48683","78.76016","78.95243","78.78041","79.15071","77.19921","97.66881","96.77906","96.13147","95.85717","96.37603","","","98.40497","97.81676","98.78087","98.8198","98.69436","","","","","","","","98.3456","97.93305","97.79261","98.15911","97.45568","98.22379","","","",
"Czech Republic","CZE","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.15596","89.69973","89.33868","89.49493","","","","","","",
"Germany","DEU","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.53235","87.11377","","85.37444","85.71943","86.98664","87.84302","89.14933","89.54017","89.04671","88.82046","89.64072","89.28999","89.21926","88.92548","88.93744","90.32462","91.54246","","","","",
"Djibouti","DJI","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","21.54557","22.52534","22.40552","22.5391","22.8225","23.58978","","24.37232","23.06435","23.8739","24.90626","24.44266","23.49403","","22.68625","23.38959","25.78145","27.31451","","31.16085","","36.03817","41.18273","46.91447","48.06544","","60.67932","","61.12784","69.11964","63.10016","59.49485","62.02095","62.90327","67.01807","",
"Dominica","DMA","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","93.43276","94.54825","","90.23237","87.07084","88.95975","88.29276","","","","","","","","","","","","","","","","","","","95.38017","95.67691","93.95031","91.6088","89.34475","88.90277","83.13332","83.89169","93.08009","","","","","","","","","","","",
"Denmark","DNK","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","95.59286","96.40157","98.15753","98.92843","99.02563","98.62751","98.9879","99.15072","97.94835","97.84123","98.31617","97.33748","96.83258","98.57861","98.44747","98.0899","","","","","","","","98.85243","96.81633","97.28118","97.86368","97.69505","97.59002","97.35466","98.3422","98.75794","99.0475","98.73444","98.95893","","","","","",
"Dominican Republic","DOM","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.65341","86.67423","","90.64583","87.19125","85.51944","86.93602","85.78473","90.94132","87.3521","","92.11449","93.52514","92.63183","92.7051","91.12181","95.04055","95.17579","94.47021","94.0781","","",
"Algeria","DZA","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","55.79117","59.16065","61.62457","63.83371","66.02593","67.71829","68.4216","69.7613","70.31687","70.30168","70.15331","71.42914","72.31578","74.06331","75.81019","77.25058","78.69119","79.52591","81.62065","83.17855","83.2644","83.79624","84.39233","84.43281","84.29735","","88.10869","89.12297","91.21017","92.62485","93.235","94.01596","94.32878","94.53214","94.94972","96.48156","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.59572","95.64134","95.55948","","",
"Early-demographic dividend","EAR","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.34972","91.86605","92.14091","92.23676","92.72548","92.67369","92.34141","92.41644","92.53423","92.38479","","",
"East Asia & Pacific","EAS","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.8027","","","95.66091","95.68388","95.56074","","",
"Europe & Central Asia (excluding high income)","ECA","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.30851","94.045","93.74092","94.495","94.70553","94.63994","94.77369","94.43129","94.98739","95.06263","95.3149","94.87503","","",
